"","Zone ","","Zone Description","","Insert Date","Parking Amount"
"","5952","","Amherst, MA","","43323.46910335648","0.5"
"","5952","","Amherst, MA","","43323.472897071755","1.0"
"","5952","","Amherst, MA","","43323.49158653935","1.0"
"","5952","","Amherst, MA","","43323.49732515046","1.0"
"","5952","","Amherst, MA","","43323.51018561342","1.0"
"","5952","","Amherst, MA","","43323.513719826384","0.5"
"","5952","","Amherst, MA","","43323.52750833333","0.5"
"","5952","","Amherst, MA","","43323.53675975694","1.0"
"","5952","","Amherst, MA","","43323.54086184027","0.5"
"","5952","","Amherst, MA","","43323.56584008101","1.0"
"","5952","","Amherst, MA","","43323.5749855324","0.5"
"","5952","","Amherst, MA","","43323.576442673606","1.0"
"","5952","","Amherst, MA","","43323.57712167824","2.0"
"","5952","","Amherst, MA","","43323.5836940625","2.0"
"","5952","","Amherst, MA","","43323.59053857638","1.5"
"","5952","","Amherst, MA","","43323.59323140046","1.5"
"","5952","","Amherst, MA","","43323.606212499995","0.5"
"","5952","","Amherst, MA","","43323.62024390046","0.5"
"","5952","","Amherst, MA","","43323.620455439814","1.0"
"","5952","","Amherst, MA","","43323.654224224534","1.0"
"","5952","","Amherst, MA","","43323.67135482639","3.0"
"","5952","","Amherst, MA","","43323.70306975694","3.5"
"","5952","","Amherst, MA","","43323.703413854164","3.5"
"","5952","","Amherst, MA","","43323.70743267361","2.0"
"","5952","","Amherst, MA","","43323.75422982639","2.0"
"","5952","","Amherst, MA","","43323.754578935186","2.0"
"","5952","","Amherst, MA","","43323.7652452199","2.0"
"","5952","","Amherst, MA","","43323.77594603009","1.5"
"","5952","","Amherst, MA","","43323.79828329861","1.0"
"","5952","","Amherst, MA","","43323.808948148144","0.5"
"","5952","","Amherst, MA","","43324.75097592593","0.0"
