datetime,occupancy
8/10/2018 11:0,11
8/10/2018 11:15,15
8/10/2018 11:30,17
8/10/2018 11:45,20
8/10/2018 12:0,20
8/10/2018 12:15,23
8/10/2018 12:30,26
8/10/2018 12:45,29
8/10/2018 13:0,29
8/10/2018 13:15,29
8/10/2018 13:30,29
8/10/2018 13:45,25
8/10/2018 14:0,22
8/10/2018 14:15,23
8/10/2018 14:30,18
8/10/2018 14:45,15
8/10/2018 15:0,17
8/10/2018 15:15,19
8/10/2018 15:30,20
8/10/2018 15:45,21
8/10/2018 16:0,20
8/10/2018 16:15,19
8/10/2018 16:30,15
8/10/2018 16:45,13
8/10/2018 17:0,11
8/10/2018 17:15,17
8/10/2018 17:30,16
8/10/2018 17:45,19
8/10/2018 18:0,25
8/10/2018 18:15,31
8/10/2018 18:30,30
8/10/2018 18:45,36
8/10/2018 19:0,35
8/10/2018 19:15,33
8/10/2018 19:30,32
8/10/2018 19:45,32
8/10/2018 20:0,23
8/10/2018 20:15,5
8/10/2018 20:30,2
8/10/2018 20:45,1
8/10/2018 21:0,1
8/10/2018 21:15,1
8/10/2018 21:30,1
8/10/2018 21:45,1
8/10/2018 22:0,1
8/10/2018 22:15,1
8/10/2018 22:30,1
8/11/2018 7:30,1
8/11/2018 7:45,1
8/11/2018 8:0,1
8/11/2018 8:15,2
8/11/2018 8:30,5
8/11/2018 8:45,10
8/11/2018 9:0,13
8/11/2018 9:15,13
8/11/2018 9:30,13
8/11/2018 9:45,21
8/11/2018 10:0,24
8/11/2018 10:15,29
8/11/2018 10:30,28
8/11/2018 10:45,26
8/11/2018 11:0,23
8/11/2018 11:15,30
8/11/2018 11:30,29
8/11/2018 11:45,23
8/11/2018 12:0,29
8/11/2018 12:15,34
8/11/2018 12:30,36
8/11/2018 12:45,36
8/11/2018 13:0,37
8/11/2018 13:15,34
8/11/2018 13:30,36
8/11/2018 13:45,35
8/11/2018 14:0,34
8/11/2018 14:15,31
8/11/2018 14:30,26
8/11/2018 14:45,25
8/11/2018 15:0,29
8/11/2018 15:15,26
8/11/2018 15:30,28
8/11/2018 15:45,30
8/11/2018 16:0,36
8/11/2018 16:15,34
8/11/2018 16:30,33
8/11/2018 16:45,32
8/11/2018 17:0,39
8/11/2018 17:15,37
8/11/2018 17:30,32
8/11/2018 17:45,30
8/11/2018 18:0,37
8/11/2018 18:15,41
8/11/2018 18:30,44
8/11/2018 18:45,44
8/11/2018 19:0,41
8/11/2018 19:15,38
8/11/2018 19:30,40
8/11/2018 19:45,39
8/11/2018 20:0,28
8/11/2018 20:15,9
8/11/2018 20:30,4
8/11/2018 20:45,3
8/11/2018 21:0,3
8/11/2018 21:15,3
8/11/2018 21:30,3
8/11/2018 21:45,2
8/11/2018 22:0,1
8/12/2018 10:15,1
8/12/2018 10:30,1
8/12/2018 10:45,1
8/12/2018 11:0,1
8/12/2018 11:45,1
8/12/2018 12:0,1
8/12/2018 12:15,1
8/12/2018 12:30,1
8/12/2018 12:45,2
8/12/2018 13:15,1
8/12/2018 13:30,1
8/12/2018 13:45,1
8/12/2018 14:0,1
8/12/2018 17:0,1
8/12/2018 17:15,2
8/12/2018 17:30,2
8/12/2018 17:45,2
8/12/2018 18:0,2
8/12/2018 18:15,2
8/12/2018 18:30,1
8/12/2018 18:45,2
8/12/2018 19:0,1
8/12/2018 19:15,1
8/12/2018 19:30,2
8/12/2018 19:45,3
8/12/2018 20:0,3
8/12/2018 20:15,1
8/12/2018 20:30,1
8/12/2018 20:45,1
8/12/2018 21:45,1
8/12/2018 22:0,1
8/12/2018 22:15,1
8/12/2018 22:30,1
8/12/2018 22:45,1
8/12/2018 23:0,1
8/12/2018 23:15,1
8/12/2018 23:30,1
8/12/2018 23:45,1
